id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 15 phút cho phản hồi ban đầu và 4 giờ cho xử lý và khắc phục [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"Every claim in the answer is directly supported by the context provided for Ticket P1, with no hallucinated information.",5,"The answer directly addresses the user's question about the SLA for P1 tickets, providing specific timeframes for initial response and resolution.",5,Retrieved: 1/1 expected sources,5,"The generated answer accurately covers all key facts from the expected answer, including the initial response time of 15 minutes and the resolution time of 4 hours.",variant_hybrid
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information provided in the context regarding the timeframe for requesting a refund.,5,"The answer directly addresses the user's question about the timeframe for requesting a refund, providing a specific duration of 7 working days.",5,Retrieved: 1/1 expected sources,5,"The generated answer perfectly matches the expected answer, covering all key facts without any omissions.",variant_hybrid
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the requirements for Level 3 access as stated in the context, with no hallucinated information.",5,"The answer directly addresses the user's question by specifying who needs to approve the Level 3 access, making it both concise and helpful.",5,Retrieved: 1/1 expected sources,5,"The generated answer includes all key facts from the expected answer, specifically mentioning the need for approval from Line Manager, IT Admin, and IT Security for Level 3 access.",variant_hybrid
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",3,"The answer correctly states that digital products are not eligible for refunds unless there is a manufacturer defect, but it does not clarify that the request must be made within 7 days, which is a crucial condition mentioned in the context.",5,"The answer directly addresses the user's question about the refund policy for digital products, providing clear information about the conditions under which refunds may be granted.",5,Retrieved: 1/1 expected sources,3,"The generated answer mentions that digital products are non-refundable, which aligns with the expected answer, but it introduces an exception for manufacturer errors that is not present in the expected answer. It does not fully capture the specific policy regarding digital products being non-refundable.",variant_hybrid
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,"Every claim in the answer is directly supported by the context provided, with no hallucinated information.",5,The answer directly addresses the user's question about how many failed login attempts lead to account lockout and provides additional helpful information on how to unlock the account.,5,Retrieved: 1/1 expected sources,4,"The generated answer includes the key fact about the account being locked after 5 failed login attempts, but it adds additional information about unlocking the account, which is not present in the expected answer.",variant_hybrid
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"Every claim in the answer is directly supported by the context provided, with no hallucinated information.",5,"The answer directly addresses the user's question about the escalation process in a P1 incident, providing specific details about the procedure and requirements.",5,Retrieved: 1/1 expected sources,1,"The generated answer does not address the escalation of ticket P1 to a Senior Engineer after 10 minutes of no response, and instead discusses a different escalation process involving an IT Admin and temporary permissions.",variant_hybrid
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty [1].,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately reflects the context by stating that the Approval Matrix is a document that regulates the access permission process for internal company systems, which is supported by the information in context [1]. No hallucinated information is present.",5,The answer directly addresses the user's question by explaining what an Approval Matrix is in the context of granting system access.,5,Retrieved: 1/1 expected sources,2,The generated answer mentions the approval matrix and its purpose but does not acknowledge the name change to 'Access Control SOP' or provide the specific document reference.,variant_hybrid
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the information provided in the context regarding remote work conditions for employees after the probation period.,5,"The answer directly addresses the user's question about the maximum number of remote work days per week, providing a specific number and context regarding the probation period.",5,Retrieved: 1/1 expected sources,4,"The generated answer includes the key fact about remote work after the probation period and the limit of 2 days per week, but it omits the requirement for Team Lead approval.",variant_hybrid
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,The answer 'Tôi không biết' is appropriate as the context does not provide information relevant to the question asked.,1,The answer does not address the user's question about ERR-403-AUTH and how to handle it.,,No expected sources,1,"The generated answer does not provide any relevant information or context about ERR-403-AUTH, nor does it suggest contacting IT Helpdesk.",variant_hybrid
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin cụ thể nào trong bối cảnh về việc quy trình hoàn tiền khẩn cấp cho khách hàng VIP có khác hay không. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"The answer correctly states that there is no specific information in the context regarding an expedited refund process for VIP customers, and it appropriately expresses uncertainty.",5,"The answer acknowledges the lack of specific information regarding the process for urgent refunds for VIP customers, which is relevant to the user's query.",5,Retrieved: 1/1 expected sources,2,"The generated answer acknowledges the lack of specific information regarding the VIP refund process but does not mention the standard refund process timeframe of 3-5 working days, which is a key fact in the expected answer.",variant_hybrid
